name,description,address
The Teahouse in Stanley Park,The Teahouse is located on Stanley Park’s Ferguson Point. The spectacular view is complemented with local and cross-cultural fare to tempt all palates.,Ferguson Point Stanley Park Drive Vancouver BC
Vancouver Aquarium Catering & Events,Host your next event at one of Vancouver's top attractions.,845 Avison Way Stanley Park Vancouver BC
The Fish House in Stanley Park,Fresh and casual seafood at its best.,8901 Stanley Park Drive Vancouver BC
Baan Thai,Exotic dishes deliciously spiced food is what Baan Thai is known for.,1117 Blanshard Street Victoria BC
Spinnaker's,Relax and enjoy west coast fare on our great waterfront patio.,308 Catherine Street Victoria BC
Nando's Flame-Grilled Chicken (Victoria),Located in Victoria this Nando's will lead your taste buds on a journey from Africa to Portugal.,100-1600 Government Street Victoria BC
Blue Crab,Be sure to try something freshly caught today - check out our Blue Crab Signature Chalk Boards for daily specials.,146 Kingston Street Victoria BC
Paradiso Di Stelle,A little cafe to enjoy a cafe with friends.,10 Bastion Square Victoria BC
Fire and Water,Fire and Water combines fresh seafood and steaks with great Pacific Northwest wines.,728 Humboldt Street Victoria BC
The Garlic Rose (CLOSED),Fresh seafood mediaterranean specialties & additive free recipes.,1205 Wharf Street Victoria BC
Garlic Rose Patio and Grill,When you visit Victoria be sure to drop by the Garlic Rose.,2800 Jacklin Victoria BC
Black Olive,The Black Olive provides great taste and presentation that combines for a wonderful experience.,739 Pandora Avenue Victoria BC
Danieli's,Italian favourites fill the menu of one of Victoria's finest Italian restaurants.,1951 Oak Bay Avenue Victoria BC
White Spot (Abbotsford),This White Spot is located in the city of Abbotsford on South Fraser Way.,33215 South Fraser Way Abbotsford BC
White Spot (Whatcom),This White Spot is located in the city of Abbotsford on North Parallel Road.,36035 North Parallel Road Abbotsford BC
Restaurant 62,Award winning Fraser Valley restaurant which caters to the fine dining crowd.,2001 McCallum Road Abbostford BC
Grillz BBQ House,Located in Abbostford. Grillz serves various BBQ dishes.,103 - 32071 South Fraser Way Abbotsford BC
Nando's Flame-Grilled Chicken (Abbotsford),Located in Abbotsford this Nando's will lead your taste buds on a journey from Africa to Portugal.,2777 Gladwin Road Abbotsford BC
Blustone Restaurant,Blustone bistro and lounge casual dining with a New York style bistro feel it's like being in downtown Vancouver but 5 minutes away from home.,2607 Ware Street Abbotsford BC
Paliotti's Italian Restaurant (Abbotsford),Award winning Italian restaurant located in Abbotsford.,33886 Essendene Ave Abbotsford BC
Q Steakhouse,Located in Abbotsford the Q Steakhouse has it all: steaks casual ambiance and friendly staff.,100 - 2955 Gladwin Rd Abbotsford BC
White Spot (New Westminster),This White Spot location is on 6th Ave in New Westminster.,610 6th Street New Westminster BC
The Old Bavaria Haus,Best Schnitzels in Vancouver.,233 6th. St. New Westminster BC
Boathouse Restaurant (New Westminster),The Boathouse New Westminster is located at the Riverside Quay. Special event catering available for weddings or corporate.,900 Quayside New Westminster BC
Hi Dojo Japanese Restaurant,Japanese restaurant with funky decor offers good presentation and taste.,702A 6th Ave. New Westminster BC
Hon's Wun Tun House (New West),Popular cafeteria-style Chinese restaurant well known for its potsticker dumplings and won ton soup.,408 6th Street New Westminster BC
Java Jazz Cafe and Bistro,Enjoy dinner and live jazz performances nightly in this cozy friendly room with grand piano.,412 Sixth Street New Westminster BC
Nando's Flame-Grilled Chicken (New Westminster-Queensborough,Located in New Westminster this Nando's will lead your taste buds on a journey from Africa to Portugal.,805 Boyd Street New Westminster BC
Gino's Restaurant,Gino's Restaurant is located in Sapperton and has just been through a makeover.,431 E Columbia st New Westminster B.C.
Graze Market and Deli,Grass fed Purebred Black Angus beef raised by us. BC's absolutely finest quality.,101-450 E. Columbia St. New Westminster BC
Lush Lounge at Chances,Breath Taking Views only rivaled by the Food!,240 1st Avenue West Prince Rupert British Columbia
Reflections Restaurant and Lounge (CLOSED),Redefining Steveston Dining.,140-3900 Bayview st Steveston BC
Steveston Seafood House,Classic seafood dishes done right in a beautfult seaside setting..,3951 Moncton St. Richmond BC
341 Pizza & Wings,Have a great pizza pie and wings on the side for lunch or dinner,103 - 7577 King George Highway Surrey BC
3G Vegetarian Restaurant,3G says their Vancouver's best vegan asian cuisine,3424 Cambie Street Vancouver BC
DINKY DAWGS,VANCITY'S 2013 AWARD WINNING ALL NATURAL DAWGS ON FRESH GLUTEN FREE BUNS!,678 Dunsmuir St inside Granville Station Vancouver BC
Curry Rice Express (CLOSED),A quick satisfying meal that's healthy too!,903 Commercial Drive Vancouver BC
Ebi Ten Japanese Fast Food,Japanese fast food outside the Vancouver Public Library.,388 Robson Street Vancouver BC
Rogers Arena Vancouver,Food a great accompaniment to the game.,800 Griffiths Way Vancouver BC
Thai Away Home,Thai fast food? Better believe it!,1736 Commercial Drive Vancouver BC
The Pita Pit,Fresh healthy and yummy pitas made to order fast!,3 - 1805 Rosser Ave. Burnaby BC
Arby's Restaurant,Sourdough sandwiches galore at Metrotown Centre Mall.,4820 Kingsway Burnaby BC
Koya Japan,Healthy choice in the Food Court.,Eaton Centre Metrotown 1210 - 4700 Kingsway Burnaby BC
Trattoria Italian Kitchen,Trattoria Italian Kitchen is new to the Kits neighbourhood. Offering traditional trattoria fare including hand tossed pizzas platters of antipasto pastas meats and fish.,1850 West 4th Avenue Vancouver BC
Araxi Restaurant + Bar,Internationally recognized. Vancouver magazine critics have named Araxi the best in Whistler for nine consecutive years.,4222 Village Square Whistler BC
West Restaurant + Bar,The Jewel in Vancouver’s culinary crown.,2881 Granville Street Vancouver BC
Bistro 101 at Pacific Institute of Culinary Arts,Experience first class service and dining while enjoying a three-course menu prepared by our talented Culinary and Baking & Pastry Arts students.,1505 West Second Ave. (at the entrance to Granville Island) Vancouver BC
CinCin Ristorante + Bar,Wood-fired Italian inspired cucina on Robson.,1154 Robson Street Vancouver BC
White Spot (Kingsway),Located on Kingsway Street this White Spot will be sure to satisfy.,1476 Kingsway Vancouver BC
Thierry,Founded in the traditions of internationally acclaimed maître pâtissier Thierry Busset’s native France Thierry offers a contemporary approach to the finest handcrafted chocolates macarons pastries and desserts.,1059 Alberni Street Vancouver BC
Blue Water Cafe + Raw Bar,An amazing seafood restaurant in Yaletown.,1095 Hamilton Street Vancouver BC
White Spot (Georgia St),This White Spot is located in the downtown core,1616 West Georgia Street Vancouver BC
The District Brasserie,If you’re craving a satisfying European-inspired meal and a spot to get social The District Brasserie won’t disappoint.,13 Lonsdale Ave. North Vancouver BC
Athene's Greek Restaurant,Longtime Kitsilano favorite offers classic Greek cuisine.,3618 West Broadway Vancouver BC
Socrates Greek Taverna,Free delivery after 4pm within 5 km radius.,6633 E. Hastings St. Burnaby BC
Minerva's Mediterranean Deli,Amazing potato salad baklava dessert and more authentic Greek and Mediterranean food to take out or eat-in.,3207 W Broadway Vancouver BC
Minerva Pizza & Steak House,Old-fashioned steaks and traditional Mediterranean dishes in a quiet family-style restaurant.,2411 W. 41st Avenue Vancouver BC
Olympia Restaurant,Roast lamb cooked to perfection.,3205 West Broadway Vancouver BC
Paros Greek Restaurant,A Coquitlam classic for generous Greek food.,526A Clarke Road Coquitlam BC
Alekos Greek Restaurant (CLOSED),Popular Coquitlam Greek restaurant is perfect for a romantic dinner.,1001 B Austin Ave (at Austin and Blue Mountain) Coquitlam BC
Cafe Katzenjammer,A delicious taste of German culture.,4441 West 10th Vancouver BC
Kaisereck Deli,Sandwiches served by super friendly staff.,114-1689 Johnston Street Vancouver BC
The Black Forest Restaurant,If you like traditional German cuisine then this is the place for you.,180 Esplanade Ave Harrison Hot Springs BC
Casual Gourmet Bistro,Casual Gourmet Bistro is located in North Vancouver.,770-333 Brooksbank Avenue North Vancouver BC
Schokolade Cafe,The first East Vancouver Chocolate Cafe All handmade Chocolates with freshest local ingredients and Swiss premier chocolate.,2263 East Hastings St Vancouver BC
Swiss Bakery,Swiss Bakery crafts artisan breads buttered croissant and pastries. From our hands to yours.,143 E. 3rd Avenue Vancouver BC
Rathskeller's,Traditional German and Bavarian Cuisine served in a friendly cozy atmosphere.,1205 Quadra Street Victoria BC
DANUBE - European Restaurant (CLOSED),The award winning Budapest Restaurant is back as DANUBE!,102A - 3701 Hastings Street Burnaby BC
Deutsches Haus,Only restaurant in Vancouver serving authentic German Cuisine.,4875 Victoria Drive Vancouver BC
The Little District Roadhouse,Classic Americana meets premium comfort food at The Little District Roadhouse kid sister to The District Brasserie.,1336 Lonsdale Ave. North Vancouver BC
Boathouse Restaurant (Kits Beach),Boathouse Kits Beach is the newest location in the Boathouse franchise.,1305 Arbutus Street Vancouver BC
Rosie's on Robson,Comforting and filling British Pub fare in this casual restaurant.,Rosedale Suites Hotel - 298 Robson Street Vancouver BC
Trolls at Horseshoe Bay,Perfect tourist destination.,6408 Bay Street West Vancouver BC
Tony's Fish and Oyster Cafe,Great place for fish and chips before you see the Market.,1511 Anderson St Vancouver BC
Lonsdale Seafood Diner,North Vancouver's continental family fish & chips.,1842 Lonsdale Ave North Vancouver BC
Celine's Fish and Chips,Eat fish and chips on the dock is a great experience.,109 - 1689 Johnston St Vancouver BC
Blackfish Cafe,By day tasty fresh fish dishes...by night relaxing gourmet meals.,950 Wharf Street Victoria BC
89 Inn Restaurant,Friendly neighborhood restaurant has some of the best hamburgers in town.,6372 Fraser St. Vancouver BC
Provence Mediterranean Grill,Warm and friendly neighbourhood restaurant serving flavours from the south of France.,4473 West 10th Avenue Vancouver BC
The Wine Bar,The Wine Bar is a great new addition to the Provence restaurant family.,1167 Marinaside Crescent Vancouver BC
The Smoking Dog Bistro,Fantastic service and amazing cuisine is the focus of this Kitsilano favourite.,1889 West 1st Avenue Vancouver BC
Absinthe Bistro,A Taste of France on the Drive,1260 Commercial Drive Vancouver B.C.
TARTS Bakery,Vancouver's One and Only Tarts Bakery,1509 West Broadway Vancouver British Columbia
Tableau Bar Bistro,Located in the Loden Hotel Tableau Bar Bistro is Chef Marc-André Choquette's newest creation.,1181 Melville Street Vancouver BC
L 'Abattoir Restaurant,L'Abattoir has a solid team that has made them a success.,217 Carrall Street Vancouver BC
Thyme to Indulge Catering & Bistro,Friendly neighbourhood French-style bistro,2858 Main Street Vancouver BC
Cafe Crepe,European cafe style crepes hot dogs and baguette sandwiches.,874 Granville Street Vancouver BC
White Spot (Langley),This White Spot is located in Langley on Fraser Highway.,19651 Fraser Hwy Langley BC
White Spot (Walnut Grove),This White Spot location is in the Walnut Grove area of Langley.,20077 91A Ave Langley BC
Best Thai Food Restaurant,Family-run Thai Restaurant offering Lunch Specials Take-Outs and Free Delivery,5744 Glover Road Langley BC
Ban Chok Dee Thai Cuisine,Authentic Thai Cuisine in the Heart of Langley,5499 - 203 Street Langley BC
Sonoma Grill,Located in Langley the Sonoma Grill is the place for fine dining and a casual attitude.,20598 Fraser Highway Langley BC
Waterstone Taphouse and Grill,Located in Langley you will always have a good time at Waterstone.,19988 84 Avenue Langley BC
ABC Country Restaurant,Country style breakfast lunch or dinner in a relaxing environment,5978 Glover Road Langley BC
Nando's Flame-Grilled Chicken (Langley-Bypass),Located in Langley this Nando's will lead your taste buds on a journey from Africa to Portugal.,20190 Langley Bypass Power Center Langley BC
Coza Tuscan Grill,Open kitchen concept wine food and hospitality at it's best.,20065 Langley Bypass Langley BC
